Tier,Tick,Accuracy,Precision,#TN,#FN,#TP,#FP,Recall (True positive rate),True Negative Rate,False Positive Rate,False Negative rate
1,0,0.9931219980787704,0.8785714285714286,25723,162,123,17,0.43157894736842106,0.9993395493395494,0.0006604506604506605,0.5684210526315789
1,1,0.9894214494537621,0.0,25721,275,0,0,0.0,1.0,0.0,1.0
1,2,0.9940455476936164,0.8505747126436781,25635,141,74,13,0.34418604651162793,0.9994931378665003,0.000506862133499688,0.6558139534883721
1,3,0.9929618540265194,1.0,25518,181,18,0,0.09045226130653267,1.0,0.0,0.9095477386934674
1,4,0.992659117532214,0.3819444444444444,25367,99,55,89,0.35714285714285715,0.9965037712130735,0.003496228786926461,0.6428571428571429
1,5,0.9957318505756129,0.896551724137931,25403,106,26,3,0.19696969696969696,0.9998819176572463,0.00011808234275368023,0.803030303030303
1,6,0.9962151080271251,1.0,25252,96,16,0,0.14285714285714285,1.0,0.0,0.8571428571428571
1,7,0.9966357951397135,0.0,25181,85,0,0,0.0,1.0,0.0,1.0
1,8,0.9969848448782036,1.0,25125,76,5,0,0.06172839506172839,1.0,0.0,0.9382716049382716
1,9,0.9978144247963441,1.0,25105,55,5,0,0.08333333333333333,1.0,0.0,0.9166666666666666
1,10,0.9979291943769663,0.0,25059,52,0,0,0.0,1.0,0.0,1.0
1,11,0.9982848709664552,0.1111111111111111,25027,35,1,8,0.027777777777777776,0.9996804473736769,0.0003195526263231476,0.9722222222222222
1,12,0.9987194877951181,0.0,24958,32,0,0,0.0,1.0,0.0,1.0
1,13,0.9992749536775961,0.0,24808,18,0,0,0.0,1.0,0.0,1.0
1,14,0.9988596562678179,1.0,24525,28,1,0,0.034482758620689655,1.0,0.0,0.9655172413793104
1,15,0.9995423531369613,1.0,24020,11,5,0,0.3125,1.0,0.0,0.6875
1,16,0.9996518408912873,1.0,22962,8,8,0,0.5,1.0,0.0,0.5
1,17,0.9991966732822984,1.0,21144,17,1,0,0.05555555555555555,1.0,0.0,0.9444444444444444
1,18,0.9993435448577681,0.75,18265,11,3,1,0.21428571428571427,0.9999452534764043,5.474652359575167e-05,0.7857142857142857
1,19,0.9992127674801403,1.0,13960,11,2,0,0.15384615384615385,1.0,0.0,0.8461538461538461
1,20,0.9991302457055882,1.0,9188,8,2,0,0.2,1.0,0.0,0.8
1,21,0.9991388589881594,1.0,4639,4,2,0,0.3333333333333333,1.0,0.0,0.6666666666666666
1,22,0.9989748846745259,0.75,1946,1,3,1,0.75,0.9994863893168978,0.0005136106831022085,0.25
1,23,1.0,1.0,794,0,1,0,1.0,1.0,0.0,0.0
2,0,0.9928835205416218,0.9885057471264368,25725,184,86,1,0.31851851851851853,0.9999611288190935,3.887118090647594e-05,0.6814814814814815
2,1,0.9926507757514484,1.0,25519,189,9,0,0.045454545454545456,1.0,0.0,0.9545454545454546
2,2,0.9958473713076863,0.6470588235294118,25387,88,33,18,0.2727272727272727,0.9992914780555009,0.0007085219444991144,0.7272727272727273
2,3,0.9971107417082244,0.9655172413793104,25165,72,28,1,0.28,0.9999602638480489,3.973615195104506e-05,0.72
2,4,0.9976157361414664,1.0,25097,60,8,0,0.11764705882352941,1.0,0.0,0.8823529411764706
2,5,0.9980053456735948,0.0,25017,50,0,0,0.0,1.0,0.0,1.0
2,6,0.9991942956129396,1.0,24797,20,6,0,0.23076923076923078,1.0,0.0,0.7692307692307693
2,7,0.9994590996088875,0.0,24021,13,0,0,0.0,1.0,0.0,1.0
2,8,0.9991966353196919,0.0,21144,17,0,0,0.0,1.0,0.0,1.0
2,9,0.999498997995992,1.0,13963,7,2,0,0.2222222222222222,1.0,0.0,0.7777777777777778
2,10,0.9989233419465977,1.0,4638,5,1,0,0.16666666666666666,1.0,0.0,0.8333333333333334
2,11,0.9987421383647799,1.0,793,1,1,0,0.5,1.0,0.0,0.5
3,0,0.9947880202255932,0.9873417721518988,25498,133,78,1,0.3696682464454976,0.9999607827757951,3.921722420487078e-05,0.6303317535545023
3,1,0.9951129153036693,1.0,25223,124,26,0,0.17333333333333334,1.0,0.0,0.8266666666666667
3,2,0.9977248233744461,1.0,24982,57,14,0,0.19718309859154928,1.0,0.0,0.8028169014084507
3,3,0.9980335500441448,0.0,24869,49,0,0,0.0,1.0,0.0,1.0
3,4,0.9994262530224172,0.7,24380,11,7,3,0.3888888888888889,0.999876963458147,0.00012303654185293031,0.6111111111111112
3,5,0.999000951474786,0.0,20999,21,0,0,0.0,1.0,0.0,1.0
3,6,0.9986862272826801,0.0,9122,12,0,0,0.0,1.0,0.0,1.0
3,7,1.0,0.0,795,0,0,0,0.0,1.0,0.0,0
4,0,0.9952667814113597,0.984375,25380,120,63,1,0.3442622950819672,0.9999606004491549,3.9399550845120365e-05,0.6557377049180327
4,1,0.9967745789033569,1.0,25017,81,15,0,0.15625,1.0,0.0,0.84375
4,2,0.998113813307649,1.0,24868,47,3,0,0.06,1.0,0.0,0.94
4,3,0.999497550558975,1.0,23864,12,7,0,0.3684210526315789,1.0,0.0,0.631578947368421
4,4,0.9989205526770294,0.0,13881,15,0,0,0.0,1.0,0.0,1.0
4,5,0.9974842767295597,0.0,793,2,0,0,0.0,1.0,0.0,1.0
5,0,0.9941038656774698,1.0,25445,151,14,0,0.08484848484848485,1.0,0.0,0.9151515151515152
5,1,0.9990462944565865,1.0,25101,24,40,0,0.625,1.0,0.0,0.375
5,2,0.9992261953245907,0.8181818181818182,24526,17,9,2,0.34615384615384615,0.9999184605348989,8.153946510110893e-05,0.6538461538461539
5,3,0.9988549345165677,0.16666666666666666,13956,11,1,5,0.08333333333333333,0.9996418594656543,0.00035814053434567725,0.9166666666666666
6,0,0.9972576980333777,0.9047619047619048,25399,64,57,6,0.47107438016528924,0.9997638260185003,0.00023617398149970478,0.5289256198347108
6,1,0.9981652108013243,1.0,25020,46,5,0,0.09803921568627451,1.0,0.0,0.9019607843137255
6,2,0.9995274325409952,1.0,21149,10,2,0,0.16666666666666666,1.0,0.0,0.8333333333333334
6,3,0.9974842767295597,0.0,793,2,0,0,0.0,1.0,0.0,1.0
7,0,0.9956363059346239,1.0,25077,110,21,0,0.16030534351145037,1.0,0.0,0.8396946564885496
7,1,0.9988246261095124,0.8333333333333334,24639,28,5,1,0.15151515151515152,0.9999594155844156,4.0584415584415584e-05,0.8484848484848485
7,2,0.9986862272826801,0.0,9122,12,0,0,0.0,1.0,0.0,1.0
8,0,0.9974116991199777,1.0,25023,65,25,0,0.2777777777777778,1.0,0.0,0.7222222222222222
8,1,0.9993300674119666,1.0,23862,16,5,0,0.23809523809523808,1.0,0.0,0.7619047619047619
8,2,1.0,0.0,795,0,0,0,0.0,1.0,0.0,0
