Tier,Tick,Accuracy,Precision,#TN,#FN,#TP,#FP,Recall (True positive rate),True Negative Rate,False Positive Rate,False Negative rate
1,0,0.999759357703835,0.9961240310077519,45443,10,257,1,0.9625468164794008,0.9999779948948156,2.200510518440278e-05,0.03745318352059925
1,1,0.9997372914751084,0.9919354838709677,45420,10,246,2,0.9609375,0.9999559684734269,4.4031526573026284e-05,0.0390625
1,2,0.9995159409447952,1.0,45216,22,211,0,0.9055793991416309,1.0,0.0,0.0944206008583691
1,3,0.9995795250846482,0.9731182795698925,44987,14,181,5,0.9282051282051282,0.9998888691322901,0.00011113086770981508,0.07179487179487179
1,4,0.9998222538215429,0.9929577464788732,44859,7,141,1,0.9527027027027027,0.9999777084262149,2.229157378510923e-05,0.0472972972972973
1,5,0.9997326381926341,0.9857142857142858,44733,10,138,2,0.9324324324324325,0.9999552922767408,4.4707723259193026e-05,0.06756756756756757
1,6,0.9995513381340153,0.989247311827957,44465,19,92,1,0.8288288288288288,0.99997751090721,2.248909278999685e-05,0.17117117117117117
1,7,0.9995496104130073,0.9726027397260274,44315,18,71,2,0.797752808988764,0.9999548705914209,4.5129408579100573e-05,0.20224719101123595
1,8,0.9996163740578599,1.0,44231,17,66,0,0.7951807228915663,1.0,0.0,0.20481927710843373
1,9,0.9996836229689725,1.0,44185,14,52,0,0.7878787878787878,1.0,0.0,0.21212121212121213
1,10,0.9996831073586998,1.0,44122,14,43,0,0.7543859649122807,1.0,0.0,0.24561403508771928
1,11,0.9996147221466776,1.0,44078,17,29,0,0.6304347826086957,1.0,0.0,0.3695652173913043
1,12,0.9997270866499887,1.0,43936,12,22,0,0.6470588235294118,1.0,0.0,0.35294117647058826
1,13,0.9997020262216925,1.0,43599,13,16,0,0.5517241379310345,1.0,0.0,0.4482758620689655
1,14,0.9996511790149295,1.0,42971,15,16,0,0.5161290322580645,1.0,0.0,0.4838709677419355
1,15,0.9997125128770273,1.0,41721,12,8,0,0.4,1.0,0.0,0.6
1,16,0.999769785644856,1.0,39079,9,6,0,0.4,1.0,0.0,0.6
1,17,0.9996593328601845,1.0,35207,12,6,0,0.3333333333333333,1.0,0.0,0.6666666666666666
1,18,0.9997934808797715,1.0,29043,6,4,0,0.4,1.0,0.0,0.6
1,19,0.999611838913149,1.0,20600,8,2,0,0.2,1.0,0.0,0.8
1,20,0.9996057715051644,1.0,12675,5,3,0,0.375,1.0,0.0,0.625
1,21,0.9984466689678978,1.0,5784,9,1,0,0.1,1.0,0.0,0.9
1,22,0.9983980776932319,0.0,2493,4,0,0,0.0,1.0,0.0,1.0
1,23,0.9990566037735849,0.0,1059,1,0,0,0.0,1.0,0.0,1.0
1,24,1.0,0.0,323,0,0,0,0.0,1.0,0.0,0
1,25,0.9852941176470589,0.0,67,1,0,0,0.0,1.0,0.0,1.0
1,26,1.0,0.0,2,0,0,0,0.0,1.0,0.0,0
1,27,0,0,2,0,0,0,0,1.0,0.0,0
2,0,0.9997153990980341,1.0,45433,13,232,0,0.9469387755102041,1.0,0.0,0.053061224489795916
2,1,0.9997565671542701,1.0,44995,11,181,0,0.9427083333333334,1.0,0.0,0.057291666666666664
2,2,0.9997771438759138,0.9912280701754386,44749,9,113,1,0.9262295081967213,0.9999776536312849,2.23463687150838e-05,0.07377049180327869
2,3,0.9997748052065036,0.9850746268656716,44330,9,66,1,0.88,0.9999774424217815,2.2557578218402474e-05,0.12
2,4,0.9996384262502542,0.9824561403508771,44179,15,56,1,0.7887323943661971,0.9999773653236759,2.2634676324128565e-05,0.2112676056338028
2,5,0.9996600104263469,1.0,44071,15,33,0,0.6875,1.0,0.0,0.3125
2,6,0.9998395452253244,1.0,43603,7,16,0,0.6956521739130435,1.0,0.0,0.30434782608695654
2,7,0.999736457509763,1.0,41723,11,5,0,0.3125,1.0,0.0,0.6875
2,8,0.9998012718600954,1.0,35209,7,8,0,0.5333333333333333,1.0,0.0,0.4666666666666667
2,9,0.9998059100393032,1.0,20603,4,2,0,0.3333333333333333,1.0,0.0,0.6666666666666666
2,10,0.9994821336095288,1.0,5788,3,2,0,0.4,1.0,0.0,0.6
2,11,1.0,0.0,1060,0,0,0,0.0,1.0,0.0,0
2,12,0.9852941176470589,0.0,67,1,0,0,0.0,1.0,0.0,1.0
2,13,0,0,67,1,0,0,0,1.0,0.0,1.0
3,0,0.9996449100068798,0.9754901960784313,44844,11,199,5,0.9476190476190476,0.9998885147940868,0.00011148520591317533,0.05238095238095238
3,1,0.999617814347699,0.9831932773109243,44347,15,117,2,0.8863636363636364,0.9999549031545243,4.5096845475658976e-05,0.11363636363636363
3,2,0.9998178630785693,0.9883720930232558,43830,7,85,1,0.9239130434782609,0.9999771850973056,2.281490269444001e-05,0.07608695652173914
