Tier,Tick,Accuracy,Precision,#TN,#FN,#TP,#FP,Recall (True positive rate),True Negative Rate,False Positive Rate,False Negative rate
1,0,0.991969260326609,0.8910891089108911,25726,198,90,11,0.3125,0.9995725997591017,0.0004274002408983176,0.6875
1,1,0.9908832128019696,1.0,25750,237,9,0,0.036585365853658534,1.0,0.0,0.9634146341463414
1,2,0.9918416270347601,0.8,25640,208,12,3,0.05454545454545454,0.9998830090083064,0.00011699099169363959,0.9454545454545454
1,3,0.9932340475172066,1.0,25534,174,9,0,0.04918032786885246,1.0,0.0,0.9508196721311475
1,4,0.9944552909019914,1.0,25451,142,17,0,0.1069182389937107,1.0,0.0,0.8930817610062893
1,5,0.9945962878847208,1.0,25389,138,11,0,0.0738255033557047,1.0,0.0,0.9261744966442953
1,6,0.9962151080271251,0.9166666666666666,25257,95,11,1,0.10377358490566038,0.9999604085834192,3.959141658088527e-05,0.8962264150943396
1,7,0.9966753740204227,1.0,25173,84,9,0,0.0967741935483871,1.0,0.0,0.9032258064516129
1,8,0.9975005950964057,1.0,25140,63,3,0,0.045454545454545456,1.0,0.0,0.9545454545454546
1,9,0.9976157361414664,1.0,25096,60,9,0,0.13043478260869565,1.0,0.0,0.8695652173913043
1,10,0.9974911393413245,1.0,25044,63,4,0,0.05970149253731343,1.0,0.0,0.9402985074626866
1,11,0.9984045311315863,1.0,25027,40,4,0,0.09090909090909091,1.0,0.0,0.9090909090909091
1,12,0.9987995198079231,1.0,24956,30,4,0,0.11764705882352941,1.0,0.0,0.8823529411764706
1,13,0.9992749536775961,1.0,24804,18,4,0,0.18181818181818182,1.0,0.0,0.8181818181818182
1,14,0.9991854687627271,1.0,24532,20,2,0,0.09090909090909091,1.0,0.0,0.9090909090909091
1,15,0.9992927275753037,1.0,24017,17,2,0,0.10526315789473684,1.0,0.0,0.8947368421052632
1,16,0.9991731221168074,1.0,22958,19,1,0,0.05,1.0,0.0,0.95
1,17,0.9992439277951044,1.0,21144,16,2,0,0.1111111111111111,1.0,0.0,0.8888888888888888
1,18,0.999671772428884,0.0,18274,6,0,0,0.0,1.0,0.0,1.0
1,19,0.9993559006655693,0.0,13964,9,0,0,0.0,1.0,0.0,1.0
1,20,0.9988040878451837,0.0,9187,11,0,0,0.0,1.0,0.0,1.0
1,21,0.9991388589881594,0.0,4641,4,0,0,0.0,1.0,0.0,1.0
1,22,0.9989748846745259,0.0,1949,2,0,0,0.0,1.0,0.0,1.0
1,23,0.9974842767295597,0.0,793,2,0,0,0.0,1.0,0.0,1.0
2,0,0.9929604554546854,0.9272727272727272,25711,175,102,8,0.36823104693140796,0.9996889459154711,0.0003110540845289475,0.631768953068592
2,1,0.9940895127736517,0.9722222222222222,25530,151,35,1,0.1881720430107527,0.9999608319298108,3.916807018918178e-05,0.8118279569892473
2,2,0.9954164381415028,1.0,25394,117,15,0,0.11363636363636363,1.0,0.0,0.8863636363636364
2,3,0.9962004274519116,1.0,25160,96,10,0,0.09433962264150944,1.0,0.0,0.9056603773584906
2,4,0.9976554738724419,1.0,25093,59,13,0,0.18055555555555555,1.0,0.0,0.8194444444444444
2,5,0.9985638488849883,1.0,25027,36,4,0,0.1,1.0,0.0,0.9
2,6,0.9990734399548805,1.0,24796,23,4,0,0.14814814814814814,1.0,0.0,0.8518518518518519
2,7,0.9992926687193143,1.0,24014,17,3,0,0.15,1.0,0.0,0.85
2,8,0.9994329190491943,1.0,21148,12,1,0,0.07692307692307693,1.0,0.0,0.9230769230769231
2,9,0.9993558545662754,0.0,13963,9,0,0,0.0,1.0,0.0,1.0
2,10,0.9984926787252368,0.0,4637,7,0,0,0.0,1.0,0.0,1.0
2,11,0.9987421383647799,0.0,794,1,0,0,0.0,1.0,0.0,1.0
3,0,0.9932322053675613,1.0,25480,174,56,0,0.24347826086956523,1.0,0.0,0.7565217391304347
3,1,0.9953887991171718,1.0,25241,117,15,0,0.11363636363636363,1.0,0.0,0.8863636363636364
3,2,0.9971660080629067,1.0,24975,71,7,0,0.08974358974358974,1.0,0.0,0.9102564102564102
3,3,0.9987157877839313,1.0,24883,32,3,0,0.08571428571428572,1.0,0.0,0.9142857142857143
3,4,0.999385271095447,1.0,24384,15,2,0,0.11764705882352941,1.0,0.0,0.8823529411764706
3,5,0.9994291151284491,0.0,21008,12,0,0,0.0,1.0,0.0,1.0
3,6,0.9991241515217867,0.0,9126,8,0,0,0.0,1.0,0.0,1.0
